,y,x,image,flux_e,flux
182,1046.14602077 pix,993.097254447 pix,0183,478.8459127981492,156505.25158677742
183,1046.90564231 pix,991.175554754 pix,0184,470.3627335177153,114781.17709669347
184,1045.95791714 pix,990.832117284 pix,0185,468.08103022421636,98268.88122148585
185,1045.07829932 pix,990.010431407 pix,0186,467.2970307983852,94693.89791340352
186,1045.14721876 pix,989.145390347 pix,0187,464.9235170674208,106836.29573623916
187,1044.21894081 pix,989.041731314 pix,0188,465.0882429899495,113074.71851273638
188,1044.95846739 pix,988.867829074 pix,0189,463.5424822716115,94327.71553537328
189,1044.20466538 pix,988.224715519 pix,0190,466.52658156905136,109962.911453888
190,1044.07292731 pix,988.221459762 pix,0191,464.01805832399526,88637.35123661661
191,1044.10308243 pix,987.88634181 pix,0192,454.26994094435145,65108.65105437617
192,1043.95742467 pix,986.982860686 pix,0193,453.9941105281423,61762.48077257631
193,1043.77005896 pix,986.241627856 pix,0194,452.0254516765366,45453.087227045675
194,1043.04271682 pix,985.175464917 pix,0195,455.9380225660254,24740.302668560274
195,1042.22298102 pix,984.095891474 pix,0196,459.5807708960532,30340.828304888535
196,1042.90572348 pix,983.975295188 pix,0197,458.425952414044,44387.66008077617
197,1042.92148962 pix,983.103115321 pix,0198,467.05741635733295,18376.552900246006
198,1042.14334598 pix,982.037517584 pix,0199,474.7695599670272,16760.248340446295
199,1042.0167882 pix,981.86591558 pix,0200,475.6533407488558,17998.507485900645
200,1041.92979668 pix,981.119748923 pix,0201,469.25694058223354,37589.01795470803
201,1041.98984791 pix,980.960965214 pix,0202,473.63761868294995,37749.193742764255
202,1042.11914196 pix,981.001330522 pix,0203,476.18681393647205,51271.35705644978
203,1042.87953903 pix,981.063242484 pix,0204,476.9401684744596,81814.87596252264
204,1042.9099325 pix,980.109135192 pix,0205,477.16020089694274,89642.21904062707
205,1042.88233441 pix,979.972561604 pix,0206,473.8185090220166,88846.77567291382
206,1043.00108152 pix,978.94117522 pix,0207,471.5509604605365,86230.127572464
207,1043.00844922 pix,979.901728054 pix,0208,479.050260579342,116590.58094479068
208,1043.08271991 pix,979.987712943 pix,0209,490.92548655143696,171720.95208961688
209,1043.79306415 pix,979.149709261 pix,0210,499.07885793454165,209238.6402069341
210,1043.17823084 pix,979.225797778 pix,0211,507.8638765245987,236503.50975571646
211,1042.86970428 pix,979.827994657 pix,0212,503.65422893412375,227549.84876937093
212,1043.16461331 pix,978.972265823 pix,0213,500.4745282148501,212819.26744275595
213,1042.99325629 pix,978.91280885 pix,0214,524.7601044234129,286324.0710377178
214,1042.21556279 pix,978.807628076 pix,0215,536.0308883161667,330703.61745689064
215,1042.87082252 pix,978.123842559 pix,0216,530.8812180542042,316458.68211245816
216,1042.89533912 pix,978.164426109 pix,0217,529.4555458425252,315643.9428077845
217,1043.13119392 pix,978.220634967 pix,0218,574.2814905262474,442806.7664438344
218,1043.96406183 pix,979.068312233 pix,0219,577.7132149277675,457033.99407867115
219,1044.07124649 pix,978.092611321 pix,0220,582.5183540055853,472757.24615401763
220,1044.04571012 pix,978.154913875 pix,0221,586.8460596596968,485733.50417375925
221,1044.07355934 pix,977.797111135 pix,0222,587.7247754575046,489240.8704203455
222,1043.89509958 pix,977.023712659 pix,0223,589.9730450999954,496123.3194118058
223,1043.78422874 pix,976.797450848 pix,0224,594.9220345326828,509449.6639000203
224,1043.95738601 pix,975.103037781 pix,0225,595.1478272696199,512122.578910385
225,1043.11277002 pix,975.060894419 pix,0226,596.6675678371118,516069.21152047196
226,1042.99525426 pix,975.194722931 pix,0227,593.6967506497016,509387.4333975592
227,1043.05582954 pix,974.889460046 pix,0228,593.4537774511303,507030.13468959974
228,1042.89336199 pix,974.23804318 pix,0229,592.0966927550211,503882.4868936895
229,1042.84022316 pix,974.192229462 pix,0230,593.9060011446364,507658.74899195286
230,1042.22063969 pix,973.895385117 pix,0231,597.4670929695479,516392.59753398877
231,1042.88309756 pix,973.11046836 pix,0232,595.839668132511,516144.6405924396
232,1041.9779449 pix,973.862430385 pix,0233,596.8789614381453,516733.81758609496
233,1042.17272942 pix,973.836416456 pix,0234,595.9245097999366,518949.5731269056
234,1042.05208944 pix,972.209974732 pix,0235,593.4018227971623,516745.1004982439
235,1041.96781639 pix,972.028204672 pix,0236,591.3461902237668,515074.1643263109
236,1042.2335944 pix,971.937131552 pix,0237,588.0379576991622,504696.71552837035
237,1042.03590594 pix,971.233159867 pix,0238,589.5844100529024,506100.7392199078
238,1042.09985935 pix,971.877444872 pix,0239,584.7059122296698,494053.17856219853
239,1042.12030109 pix,971.161812733 pix,0240,579.9429957994053,479222.07252820797
240,1042.13780834 pix,970.160847295 pix,0241,582.3463092643872,489943.38855406403
241,1042.91292285 pix,970.849357733 pix,0242,583.7543551043532,491611.726687714
242,1043.0257244 pix,971.043385018 pix,0243,586.8054083923604,499155.785658355
243,1042.93274332 pix,970.976748747 pix,0244,586.6237795022646,498044.19993565464
244,1042.21817266 pix,970.840087392 pix,0245,585.4077185887137,494491.2698287817
245,1042.90365854 pix,970.088730802 pix,0246,582.1072467546421,485087.66145312187
246,1042.96744534 pix,970.932691751 pix,0247,584.5035863089557,490481.6899645643
247,1042.25939531 pix,971.020104597 pix,0248,584.8219579233519,495785.2843728228
248,1042.86628881 pix,970.219633076 pix,0249,586.2278718624085,497817.43195933406
249,1042.08517354 pix,969.894649529 pix,0250,587.8793667084715,506387.1901295902
250,1042.14780704 pix,969.951592364 pix,0251,589.2763862296082,510137.1307683644
251,1042.05914608 pix,969.867980003 pix,0252,589.5813257801829,508765.29305763077
252,1042.07548042 pix,969.903728959 pix,0253,590.1979175321937,513731.1638418059
253,1042.75122705 pix,969.111468629 pix,0254,592.0936534717508,520195.88515100954
254,1042.77998141 pix,969.820569502 pix,0255,593.7248388381527,524392.8570657264
255,1042.15850066 pix,969.04278435 pix,0256,595.9333973555097,531883.2835001918
256,1042.19504326 pix,968.921052783 pix,0257,595.276494075844,530381.9957921079
257,1041.94436358 pix,967.95331251 pix,0258,594.7666739236142,529894.7829070573
258,1042.14150078 pix,967.967652493 pix,0259,596.1550016927664,532628.8942103956
259,1041.9191348 pix,967.193306773 pix,0260,595.0503552518213,528405.5512788073
260,1041.8795248 pix,966.098464065 pix,0261,592.8284368075889,524173.8602147716
261,1041.08353053 pix,966.058530762 pix,0262,590.9000035746452,519819.58383461554
262,1041.16519417 pix,965.969521645 pix,0263,590.995562737452,521927.99164942664
263,1041.14339305 pix,965.865714824 pix,0264,594.7815296991116,530574.6589170153
264,1041.85886109 pix,965.935492497 pix,0265,597.0167607206449,536274.5607153608
265,1041.12462319 pix,965.811947839 pix,0266,595.5821900324843,533559.0830356444
266,1042.03657079 pix,965.832065357 pix,0267,596.8904999405685,534415.2452474523
267,1041.977278 pix,965.833138031 pix,0268,595.5024520755801,534461.286134565
268,1042.00627414 pix,965.860778646 pix,0269,595.2816740249307,533224.5380752168
269,1042.15992626 pix,965.128967067 pix,0270,594.0227690434575,530674.8050730138
270,1041.96403858 pix,965.066382013 pix,0271,595.5863560332366,533221.6087233593
271,1041.11408249 pix,965.193868334 pix,0272,595.5981782692265,533883.1979374836
272,1042.02565019 pix,964.821649094 pix,0273,594.9027734795577,532069.6287239601
